id,event_type,event_cause,latitude,longitude,endlatitude,endlongitude,requires_road_closure,priority,corridor,corridor_weight,veh_type,police_station,zone,address,start_ist,hour,dow,is_weekend,month,dist_to_cbd_km,has_endpoint,duration_min,status,impact_score,severity,duration_band,expected_minutes,p_road_closure,p_high_priority
FKID000011,unplanned,vehicle_breakdown,12.94457,77.5274017,0.0,0.0,0,High,ORR West 1,0.0205554875810595,private_car,Byatarayanapura,Unknown,"Mysore Road, Radiant Karel, Pantarapalya, Bengaluru, Karnataka. Pin-560039 (India)",2024-01-30 10:51:06.975000+05:30,10.0,1.0,0,1.0,9.05,0,,closed,39.9,Moderate,<1h,48,0.0,1.0
FKID000012,unplanned,water_logging,12.9995223,77.6827499,0.0,0.0,0,High,ORR East 2,0.0228802153432032,unknown,Mahadevapura,Unknown,"1st Main Road, BSNL CACT Building, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",2024-03-07 23:30:05.020000+05:30,23.0,3.0,0,3.0,8.88,0,,active,61.2,High,>24h,1782,0.0,1.0
FKID000013,unplanned,others,13.0418933,77.594705,0.0,0.0,0,High,ORR North 1,0.0336473755047106,unknown,Hebbala,North Zone 1,"MBT Road, Amanikere, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",2023-12-27 00:45:28.124000+05:30,0.0,2.0,0,12.0,7.41,0,,closed,56.8,High,<1h,704,0.0,1.0
FKID000014,unplanned,pot_holes,12.975285,77.6256902,0.0,0.0,0,High,Old Madras Road,0.0321791263917778,unknown,Halasur,Unknown,"Old Madras Road, Ramayya Circle, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",2024-03-08 00:56:15.604000+05:30,0.0,4.0,0,3.0,2.3,0,,active,61.2,High,>24h,1537,0.0,1.0
FKID000015,unplanned,others,13.0633917,77.5933483,0.0,0.0,0,High,Bellary Road 2,0.0463722011501284,unknown,Kodigehalli,Unknown,"Bellary Road, Capitaland IT Park, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",2024-03-08 00:40:21.930000+05:30,0.0,4.0,0,3.0,9.8,0,,active,50.8,High,1-6h,203,0.0,1.0
FKID000016,unplanned,others,13.063425,77.5933,0.0,0.0,0,High,Bellary Road 2,0.0463722011501284,unknown,Kodigehalli,Unknown,"Bellary Road, Renaissance Prospero Apartment, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",2024-03-08 00:41:15.565000+05:30,0.0,4.0,0,3.0,9.81,0,,active,50.8,High,1-6h,203,0.0,1.0
FKID000017,unplanned,others,13.0254527,77.6417388,0.0,0.0,0,High,ORR North 1,0.0336473755047106,unknown,Hennuru,Unknown,"MBT Road, Chelekere, Bengaluru, Karnataka. Pin-560043 (India)",2024-03-08 00:48:29.890000+05:30,0.0,4.0,0,3.0,6.83,0,,active,55.3,High,<1h,542,0.0,1.0
FKID000018,unplanned,tree_fall,12.9233517,77.5904883,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,unknown,Jayanagara,Unknown,"36th Cross Road, Block 4T, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",2024-03-08 01:09:29.764000+05:30,1.0,4.0,0,3.0,6.04,0,293.3450075,closed,44.4,Moderate,1-6h,350,0.001,0.0
FKID000019,unplanned,vehicle_breakdown,13.0001393,77.5840594,0.0,0.0,0,High,Bellary Road 1,0.0746359965740854,ksrtc_bus,Sadashivanagar,Unknown,"Sankey Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli, Bengaluru, Karnataka. Pin-560003 (India)",2024-01-30 10:19:17.231000+05:30,10.0,1.0,0,1.0,3.49,0,,closed,50.3,High,1-6h,114,0.0,1.0
FKID000020,unplanned,vehicle_breakdown,12.9071221,77.6286395,0.0,0.0,0,High,Hosur Road,0.0364615196378318,heavy_vehicle,Madiwala,Unknown,"Hosur Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",2024-03-08 00:55:04.302000+05:30,0.0,4.0,0,3.0,8.08,0,27.2487523,closed,41.8,Moderate,<1h,51,0.001,1.0
FKID000021,unplanned,tree_fall,12.927375,77.5806883,12.9273528,77.580685,1,Low,Non-corridor,0.3846812675884008,unknown,Jayanagara,Unknown,"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",2024-03-08 01:15:16.034000+05:30,1.0,4.0,0,3.0,5.98,1,2928.5208131000004,closed,84.1,Critical,>24h,1865,1.0,0.0
FKID000022,unplanned,pot_holes,12.9169074,77.5950955,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,unknown,Jayanagara,South Zone 1,"South End Main Road, East End Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",2024-01-06 04:05:41.185000+05:30,4.0,5.0,1,1.0,6.64,0,,closed,53.0,High,>24h,1524,0.0,0.001
FKID000023,unplanned,pot_holes,12.9667047,77.6615983,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,unknown,Jeevanbheemanagar,Unknown,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",2024-01-30 14:02:47.117000+05:30,14.0,1.0,0,1.0,6.27,0,,active,48.9,Moderate,<1h,691,0.0,0.038
FKID000024,unplanned,water_logging,12.8966387,77.7202071,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,unknown,Whitefield,Unknown,"Sarjapura Main Road, Kodathi Gate, Kodathi, Bengaluru, Karnataka. Pin-560035 (India)",2024-03-08 01:25:24.461000+05:30,1.0,4.0,0,3.0,15.33,0,,active,50.9,High,>24h,1068,0.0,0.0
FKID000025,unplanned,tree_fall,12.9463911,77.597326,12.9465181,77.5973857,1,Low,Non-corridor,0.3846812675884008,unknown,Wilson Garden,Unknown,"12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",2024-03-07 11:39:19.361000+05:30,11.0,3.0,0,3.0,3.37,1,843.3240253,closed,77.7,Critical,6-24h,623,1.0,0.0
FKID000026,unplanned,pot_holes,12.9856042,77.5977438,0.0,0.0,0,High,Non-corridor,0.3846812675884008,unknown,Shivajinagar,Unknown,"Queens Road, HVS Apartment, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2024-01-30 14:05:04.399000+05:30,14.0,1.0,0,1.0,1.3,0,,active,59.3,High,>24h,1707,0.0,0.38
FKID000027,unplanned,vehicle_breakdown,12.9077383,77.6005709,0.0,0.0,0,High,Bannerghata Road,0.02557200538358,bmtc_bus,Mico Layout,Unknown,"Bannerghatta Main Road, JD Mara Junction, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",2024-01-30 13:42:47.138000+05:30,13.0,1.0,0,1.0,7.59,0,,closed,40.0,Moderate,<1h,45,0.0,1.0
FKID000028,unplanned,pot_holes,12.9635109,77.6642122,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,unknown,HAL Old Airport,Unknown,"Suranjan Das Road, Officers Quarters, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",2024-01-30 13:55:57.212000+05:30,13.0,1.0,0,1.0,6.62,0,9.079776783333331,closed,44.5,Moderate,<1h,325,0.0,0.04
FKID000029,unplanned,pot_holes,12.9667073,77.6615616,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,unknown,Jeevanbheemanagar,Unknown,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",2024-01-30 14:01:37.367000+05:30,14.0,1.0,0,1.0,6.27,0,,active,48.9,Moderate,<1h,691,0.0,0.038
FKID000030,unplanned,pot_holes,12.9666867,77.6616478,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,unknown,Jeevanbheemanagar,Unknown,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",2024-01-30 14:03:55.212000+05:30,14.0,1.0,0,1.0,6.28,0,,active,48.9,Moderate,<1h,691,0.0,0.038
FKID000031,unplanned,vehicle_breakdown,12.907814,77.6006561,12.9075245,77.6003865,1,High,Bannerghata Road,0.02557200538358,bmtc_bus,Mico Layout,Unknown,"Bannerghatta Main Road, Srinivas Industrial Estate, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",2024-01-30 13:38:05.581000+05:30,13.0,1.0,0,1.0,7.58,1,,closed,68.7,High,<1h,36,1.0,1.0
FKID000032,unplanned,vehicle_breakdown,12.8955737,77.5993711,0.0,0.0,0,High,Bannerghata Road,0.02557200538358,lcv,J.P. Nagar,Unknown,"Bannerghatta Main Road, Indian Institute of Management, Bengaluru, Karnataka. Pin-560076 (India)",2024-01-30 11:13:18.534000+05:30,11.0,1.0,0,1.0,8.95,0,,closed,43.7,Moderate,<1h,85,0.0,1.0
FKID000033,unplanned,tree_fall,12.92757,77.5832051,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,unknown,Jayanagara,Unknown,"9th Main Road, Geeta Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",2024-03-08 01:36:03.523000+05:30,1.0,4.0,0,3.0,5.85,0,2907.6902057166667,closed,54.3,High,>24h,1903,0.001,0.0
FKID000034,unplanned,congestion,13.044697,77.5828546,0.0,0.0,0,High,ORR North 2,0.0287532117949345,unknown,Kodigehalli,Unknown,"Outer Ring Road, Abdul Patel Syed Layout, Bhoopasandra, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",2024-01-30 11:08:15.485000+05:30,11.0,1.0,0,1.0,8.0,0,,closed,48.2,Moderate,1-6h,177,0.0,1.0
FKID000035,unplanned,pot_holes,12.9666885,77.6616396,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,unknown,Jeevanbheemanagar,Unknown,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",2024-01-30 14:05:57.672000+05:30,14.0,1.0,0,1.0,6.28,0,,active,48.9,Moderate,<1h,691,0.0,0.038
FKID000036,unplanned,vehicle_breakdown,12.9789228,77.5644032,0.0,0.0,0,High,Magadi Road,0.0299767527223785,bmtc_bus,Magadi Road,Unknown,"Magadi Road, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",2024-03-08 01:47:50.952000+05:30,1.0,4.0,0,3.0,4.36,0,,closed,45.2,Moderate,<1h,103,0.0,1.0
FKID000037,unplanned,accident,12.8636494,77.6725849,,,0,Low,Non-corridor,0.3846812675884008,unknown,Electronic City,Unknown,"Doddanagamangala Road, Sri Rajarajeshwari Nagar, Doddanagamangala, Bengaluru, Karnataka. Pin-560100 (India)",2024-01-30 09:22:59.126038+05:30,9.0,1.0,0,1.0,14.5,0,,closed,43.4,Moderate,<1h,298,0.0,0.0
FKID000038,unplanned,vehicle_breakdown,12.9219483,77.6002467,0.0,0.0,0,High,Bannerghata Road,0.02557200538358,heavy_vehicle,Mico Layout,Unknown,"Bannerghatta Main Road, Opulent Spire, Block 9, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",2024-01-30 20:45:10.139000+05:30,20.0,1.0,0,1.0,6.02,0,,closed,42.6,Moderate,<1h,70,0.0,1.0
FKID000039,unplanned,pot_holes,12.9666597,77.661556,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,unknown,Jeevanbheemanagar,Unknown,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",2024-01-30 14:07:16.322000+05:30,14.0,1.0,0,1.0,6.27,0,,active,48.9,Moderate,<1h,691,0.0,0.038
FKID000040,planned,construction,12.946469,77.6986754,0.0,0.0,0,High,ORR East 1,0.0298543986296341,unknown,HAL Old Airport,Unknown,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",2024-01-30 17:01:12.848000+05:30,17.0,1.0,0,1.0,10.72,0,0.5525333333333333,closed,47.6,Moderate,<1h,155,0.0,1.0
FKID000041,unplanned,others,12.9936273,77.5844677,12.9934867,77.584375,1,High,Bellary Road 1,0.0746359965740854,unknown,High ground,Unknown,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2024-03-08 01:50:31.140000+05:30,1.0,4.0,0,3.0,2.93,1,106.41915116666668,closed,91.9,Critical,<1h,842,1.0,1.0
FKID000042,unplanned,vehicle_breakdown,12.9465079,77.6986339,0.0,0.0,0,High,ORR East 1,0.0298543986296341,bmtc_bus,HAL Old Airport,Unknown,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",2024-01-31 02:08:19.329000+05:30,2.0,2.0,0,1.0,10.71,0,,closed,42.1,Moderate,<1h,60,0.0,1.0
FKID000043,unplanned,vehicle_breakdown,13.0467058,77.5036495,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,lcv,Chikkabanavara,Unknown,"6th Main Road, The Edge, Nagasandra, Bengaluru, Karnataka. Pin-560073 (India)",2024-03-07 23:59:50.857000+05:30,23.0,3.0,0,3.0,13.47,0,,closed,35.6,Moderate,<1h,78,0.0,0.0
FKID000044,unplanned,vehicle_breakdown,13.0166142,77.5054464,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,bmtc_bus,Peenya,West Zone 1,"14th Cross Road, Industrial Area Stage 3, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",2023-12-28 11:36:26.375000+05:30,11.0,3.0,0,12.0,11.65,0,,closed,40.2,Moderate,1-6h,171,0.0,0.0
FKID000045,planned,construction,13.0085677,77.6131497,13.0085507,77.6131283,1,Low,Non-corridor,0.3846812675884008,unknown,K.G. Halli,Unknown,"Shampura Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)",2024-01-31 02:51:10.303000+05:30,2.0,2.0,0,1.0,3.75,1,,closed,78.3,Critical,<1h,684,1.0,0.001
FKID000046,unplanned,vehicle_breakdown,13.0309717,77.5364661,0.0,0.0,0,High,Tumkur Road,0.0560381744769362,lcv,Yeshwanthpura,Unknown,"Mumbai Bengaluru Highway, Gorguntepalya Junction, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",2024-01-31 01:03:25.417000+05:30,1.0,2.0,0,1.0,9.58,0,,closed,42.3,Moderate,<1h,40,0.0,1.0
FKID000047,unplanned,others,13.0262806,77.5442344,0.0,0.0,0,High,Tumkur Road,0.0560381744769362,unknown,Yeshwanthpura,Unknown,"1st Main Road, Sri Vijayamaruthi Circle, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",2024-03-08 01:57:15.443000+05:30,1.0,4.0,0,3.0,8.6,0,133.52983253333335,closed,54.7,High,1-6h,335,0.0,1.0
FKID000048,unplanned,tree_fall,12.9938639,77.5844374,0.0,0.0,0,High,Bellary Road 1,0.0746359965740854,unknown,High ground,Unknown,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2024-03-08 02:11:41.999000+05:30,2.0,4.0,0,3.0,2.95,0,1829.3005564666664,closed,66.6,High,>24h,1864,0.001,1.0
FKID000049,unplanned,vehicle_breakdown,12.9188682,77.6687736,0.0,0.0,0,High,ORR East 1,0.0298543986296341,bmtc_bus,Bellandur,Unknown,"Sarjapura Main Road, Sri Balaji Layout, Bellandur Gate, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",2024-01-31 02:57:52.454000+05:30,2.0,2.0,0,1.0,9.42,0,55.541728516666666,closed,39.7,Moderate,<1h,40,0.0,1.0
FKID000050,unplanned,congestion,12.9546127,77.6423399,0.0,0.0,0,High,IRR(Thanisandra road),0.0116236388107182,unknown,Jeevanbheemanagar,Unknown,"Nagasandra Road, Serenity Layout, Domlur, Bengaluru, Karnataka. Pin-560071 (India)",2024-01-31 02:16:34.356000+05:30,2.0,2.0,0,1.0,4.73,0,,closed,42.6,Moderate,<1h,89,0.0,1.0
FKID000051,unplanned,vehicle_breakdown,12.936133,77.5187044,0.0,0.0,0,High,Mysore Road,0.0909090909090909,lcv,Byatarayanapura,Unknown,"Sri Sri Sri Tiruchi Mahaswamiji Road, Rajarajeshwari Junction, Nayandahalli, Bengaluru, Karnataka. Pin-560039 (India)",2024-01-31 02:43:55.445000+05:30,2.0,2.0,0,1.0,10.3,0,,closed,47.9,Moderate,<1h,57,0.0,1.0
FKID000052,planned,construction,12.9694079,77.7006346,0.0,0.0,0,High,ORR East 2,0.0228802153432032,unknown,HAL Old Airport,Unknown,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",2024-01-31 02:26:01.732000+05:30,2.0,2.0,0,1.0,10.44,0,729.7378,closed,55.9,High,6-24h,724,0.0,1.0
FKID000053,unplanned,vehicle_breakdown,12.9849833,77.5883633,0.0,0.0,0,High,Bellary Road 1,0.0746359965740854,private_car,High ground,Unknown,"Palace Road, Chalukya Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2024-01-31 03:17:40.463000+05:30,3.0,2.0,0,1.0,2.02,0,69.32987603333332,closed,51.8,High,1-6h,148,0.0,1.0
FKID000054,unplanned,vehicle_breakdown,13.0127301,77.5545135,0.0,0.0,0,High,West of Chord Road,0.021289612137526,truck,Malleshwaram,Unknown,"Chord Road, World Trade Centre, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",2024-03-08 02:12:57.607000+05:30,2.0,4.0,0,3.0,6.79,0,,closed,43.8,Moderate,<1h,94,0.0,1.0
FKID000055,unplanned,road_conditions,12.9842019,77.7336286,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,unknown,Whitefield,Unknown,"Pattandur Agrahara Road, Vertex Tech Park, EPIP Zone, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",2024-01-31 03:24:56.083000+05:30,3.0,2.0,0,1.0,14.02,0,61.27697078333333,closed,44.0,Moderate,1-6h,327,0.0,0.0
FKID000056,unplanned,vehicle_breakdown,13.2644465,77.7187627,13.2645358,77.7187849,1,Low,Non-corridor,0.3846812675884008,heavy_vehicle,Devanahalli Airport,Unknown,"Bangalore Bellary Road, Nitesh Long Land, Devanahalli, Karnataka. Pin-562110 (India)",2024-01-31 01:06:33.702000+05:30,1.0,2.0,0,1.0,34.39,1,,closed,65.7,High,<1h,79,1.0,0.0
FKID000057,unplanned,vehicle_breakdown,12.9848257,77.7527586,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,private_car,Mahadevapura,Unknown,"Whitefield Main Road, Prestige Park View, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",2024-01-31 03:36:02.276000+05:30,3.0,2.0,0,1.0,16.09,0,36.41233746666667,closed,30.8,Moderate,<1h,34,0.0,0.0
FKID000058,unplanned,tree_fall,12.9932986,77.5837571,0.0,0.0,0,High,Bellary Road 1,0.0746359965740854,unknown,High ground,Unknown,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2024-03-08 02:21:39.532000+05:30,2.0,4.0,0,3.0,2.97,0,1819.0784875333331,closed,66.7,High,>24h,1904,0.001,1.0
FKID000059,unplanned,tree_fall,12.9937523,77.5842482,0.0,0.0,0,High,Bellary Road 1,0.0746359965740854,unknown,High ground,Unknown,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2024-03-08 02:17:40.640000+05:30,2.0,4.0,0,3.0,2.96,0,1823.1111353833328,closed,66.9,High,>24h,1952,0.001,1.0
FKID000060,unplanned,tree_fall,12.9938868,77.5841876,0.0,0.0,0,High,Bellary Road 1,0.0746359965740854,unknown,High ground,Unknown,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2024-03-08 02:15:19.752000+05:30,2.0,4.0,0,3.0,2.97,0,1825.6380844833332,closed,66.9,High,>24h,1948,0.001,1.0
FKID000061,unplanned,vehicle_breakdown,12.9368467,77.6928653,0.0,0.0,0,High,ORR East 1,0.0298543986296341,private_car,HAL Old Airport,Unknown,"Outer Ring Road, Featherlite The Address, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",2024-01-31 04:35:02.339000+05:30,4.0,2.0,0,1.0,10.51,0,10.513486133333334,resolved,42.1,Moderate,<1h,60,0.0,1.0
FKID000062,unplanned,tree_fall,13.0126766,77.5581246,13.0126089,77.5582882,1,Low,Non-corridor,0.3846812675884008,unknown,Malleshwaram,Unknown,"1st Cross Road, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",2024-03-08 02:23:37.293000+05:30,2.0,4.0,0,3.0,6.48,1,,closed,81.1,Critical,>24h,1138,0.996,0.0
FKID000063,unplanned,vehicle_breakdown,12.9513113,77.4994888,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,bmtc_bus,Jnanabharathi,Unknown,"Kengeri Main Road, Ullal Junction, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)",2024-01-31 04:42:23.123000+05:30,4.0,2.0,0,1.0,11.7,0,83.22766023333334,closed,39.4,Moderate,1-6h,150,0.0,0.001
FKID000064,unplanned,vehicle_breakdown,13.0160964,77.5068555,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,bmtc_bus,Peenya,Unknown,"14th Cross Road, Industrial Area Stage 2, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",2024-01-31 02:51:57.881000+05:30,2.0,2.0,0,1.0,11.48,0,,closed,36.8,Moderate,<1h,96,0.0,0.0
FKID000065,unplanned,pot_holes,12.9807501,77.6028238,0.0,0.0,0,High,CBD 1,0.0031812064113544,unknown,Shivajinagar,Unknown,"Infantry Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2024-03-08 02:35:54.697000+05:30,2.0,4.0,0,3.0,0.57,0,,active,55.0,High,<1h,867,0.0,1.0
FKID000066,unplanned,tree_fall,12.9165983,77.583705,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,unknown,J.P. Nagar,Unknown,"9th Main Road, Adarsh Palace Apartment, TMC Layout, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",2024-03-08 02:28:06.297000+05:30,2.0,4.0,0,3.0,6.97,0,321.23818236666665,closed,52.0,High,>24h,1300,0.0,0.0
FKID000067,unplanned,pot_holes,13.0198619,77.6562235,0.0,0.0,0,High,Non-corridor,0.3846812675884008,unknown,Hennuru,Unknown,"Horamavu Main Road, Another Sky by Living Walls, Ashirwad Colony, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",2024-01-31 06:34:36.275000+05:30,6.0,2.0,0,1.0,7.44,0,,active,61.0,High,>24h,1890,0.0,0.449
FKID000068,unplanned,pot_holes,13.0191848,77.6555127,0.0,0.0,0,High,ORR North 1,0.0336473755047106,unknown,Hennuru,Unknown,"MBT Road, Peddanna Reddy Layout, Ashirwad Colony, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",2024-01-31 06:31:36.195000+05:30,6.0,2.0,0,1.0,7.33,0,,active,61.3,High,>24h,1513,0.0,1.0
